Cód. RCD Centro;Centro;Provincia;Localidad
22000056;VERO-ALCANADRE;Huesca;Adahuesca
22000071;ASUNCIÓN PAÑART MONTANER;Huesca;Aínsa
22000251;JOSÉ MANUEL BLECUA;Huesca;Alcolea de Cinca
22000299;SANTOS SAMPER SARASA;Huesca;Almudévar
22000585;RAMÓN Y CAJAL;Huesca;Ayerbe
22000706;FRANCISCO GALIAY SARAÑANA;Huesca;Ballobar
22000721;ALTO ARAGÓN;Huesca;Barbastro
22000731;LA MERCED;Huesca;Barbastro
22000767;SAN VICENTE DE PAÚL;Huesca;Barbastro
22000779;SAN JOSÉ DE CALASANZ;Huesca;Barbastro
22000809;HERMANOS ARGENSOLA;Huesca;Barbastro
22001073;VÍCTOR MENDOZA MENDOZA;Huesca;Binéfar
22001085;VIRGEN DEL ROMERAL;Huesca;Binéfar
22001191;VIRGEN DE LA SOLEDAD;Huesca;Bolea
22001243;ALTO ARA;Huesca;Broto
22001358;CERBÍN;Huesca;Campo
22001437;LOS ARAÑONES;Huesca;Canfranc-Estación
22001656;RAMÓN J. SENDER;Huesca;Chalamera
22001875;MIGUEL SERVET;Huesca;Fraga
22001887;SAN JOSÉ DE CALASANZ;Huesca;Fraga
22001899;SANTA ANA;Huesca;Fraga
22001905;LITERA;Huesca;Litera
22001917;RAMÓN J. SENDER;Huesca;Fraga
22002016;LA FUEVA;Huesca;Tierrantona
22002119;SANTIAGO APÓSTOL;Huesca;Grañén
22002156;JOAQUÍN COSTA;Huesca;Graus
22002168;BALTASAR GRACIÁN;Huesca;Graus
22002302;JUAN XXIII;Huesca;Huesca
22002338;PÍO XII;Huesca;Huesca
22002341;SANCHO RAMÍREZ;Huesca;Huesca
22002351;SAN VICENTE;Huesca;Huesca
22002417;SANTA ANA;Huesca;Huesca
22002430;SAN BERNARDO;Huesca;Huesca
22002466;SANTA ROSA - ALTOARAGÓN;Huesca;Huesca
22002478;SAN VIATOR;Huesca;Huesca
22002491;MONTEARAGÓN;Huesca;Huesca
22002508;RAMÓN Y CAJAL;Huesca;Huesca
22002511;PIRÁMIDE;Huesca;Huesca
22002521;SIERRA DE GUARA;Huesca;Huesca
22002569;ALCORAZ;Huesca;Huesca
22002673;SAN JUAN DE LA PEÑA;Huesca;Jaca
22002703;ESCUELAS PÍAS;Huesca;Jaca
22002727;DOMINGO MIRAL;Huesca;Jaca
22002740;INSTITUTO DE FORMACIÓN AGROAMBIENTAL;Huesca;Jaca
22002843;MONEGROS NORTE;Huesca;Lanaja
22003100;SAN GINÉS;Huesca;Lupiñén
22003215;JOAQUÍN COSTA;Huesca;Monzón
22003239;SANTO DOMINGO SAVIO;Huesca;Monzón
22003252;SANTA ANA;Huesca;Monzón
22003276;MINTE;Huesca;Monzón
22003288;JOSÉ MOR DE FUENTES;Huesca;Monzón
22003343;SAN GREGORIO;Huesca;Ontiñena
22003586;CINCA-CINQUETA;Huesca;Plan
22003835;MONTECORONA;Huesca;Sabiñánigo
22003847;PUENTE SARDAS;Huesca;Sabiñánigo
22003860;SANTA ANA;Huesca;Sabiñánigo
22003902;SAN ALBERTO MAGNO;Huesca;Sabiñánigo
22003926;MIGUEL SERVET;Huesca;Senegüé
22004104;LA LAGUNA;Huesca;Sariñena
22004189;ALBERTO GALINDO;Huesca;Sena
22004271;SAN MIGUEL;Huesca;Tamarite de Litera
22004566;COLLARADA;Huesca;Villanúa
22004578;MIGUEL SERVET;Huesca;Villanueva de Sigena
22004608;SAN JUAN BAUTISTA;Huesca;Zaidín
22004611;MARTÍNEZ VARGAS;Huesca;Barbastro
22004633;EL PARQUE;Huesca;Huesca
22004773;LUCAS MALLADA;Huesca;Huesca
22004839;MONTE OROEL;Huesca;Jaca
22004840;ARAGÓN;Huesca;Monzón
22004888;BAJO CINCA;Huesca;Fraga
22004891;BIELLO ARAGÓN;Huesca;Sabiñánigo
22004906;PEDRO I;Huesca;Barbastro
22004943;NTRA. SRA. DE GUAYENTE;Huesca;Sahún
22005030;MONEGROS-GASPAR LAX;Huesca;Sariñena
22005054;VIRGEN DE LOS RÍOS;Huesca;Caldearenas
22005121;SAN LORENZO;Huesca;Huesca
22005145;ESCUELA DE ARTE DE HUESCA;Huesca;Huesca
22005157;LA ALEGRÍA;Huesca;Monzón
22005200;PEDRO J. RUBIO;Huesca;Huesca
22005340;VALLE DEL GUARGA;Huesca;Aineto
22005388;SIERRA DE SAN QUÍLEZ;Huesca;Binéfar
22005391;LA LLITERA;Huesca;Tamarite de Litera
22005406;SOBRARBE;Huesca;Aínsa
22005431;DE PAÚLES DE SARSA;Huesca;Paúles de Sarsa
22005674;LA LLITERA;Huesca;Albelda
22005686;MONTESNEGROS;Huesca;Peñalba
22005698;A REDOLADA;Huesca;Peralta de Alcofea
22005704;BAJA RIBAGORZA;Huesca;Capella
22005716;ESTADILLA-FONZ;Huesca;Fonz
22005728;MONTEARAGÓN;Huesca;Chimillas
22005731;ALTO GÁLLEGO;Huesca;Biescas
22005741;EL TRÉBOL;Huesca;Binaced
22005765;PIRINEOS;Huesca;Jaca
22005789;RÍO ARAGÓN;Huesca;Santa Cilia
22005807;RIBERA DEL CINCA;Huesca;Torrente de Cinca
22005819;DE ALTORRICÓN;Huesca;Altorricón
22005820;ARCO IRIS;Huesca;Conchel
22005832;ALBEOS;Huesca;Belver de Cinca
22005844;VIOLADA MONEGROS;Huesca;Tardienta
22005856;LA SABINA;Huesca;Robres
22005868;MONEGROS-HOYA;Huesca;Lalueza
22005881;ALTA RIBAGORZA;Huesca;Benasque
22006083;PIRÁMIDE;Huesca;Almudévar
22006095;DE CASTEJÓN DE SOS;Huesca;Castejón de Sos
22006101;MONTES NEGROS;Huesca;Grañén
22006113;CINCA-ALCANADRE;Huesca;Alcolea de Cinca
22006125;BIELLO ARAGÓN;Huesca;Biescas
22006137;VALLE DE BENASQUE;Huesca;Benasque
22010001;SAN JORGE;Huesca;Huesca
22010323;PIRINEOS-PYRÉNÉES;Huesca;Huesca
22010712;PIRÁMIDE;Huesca;Huesca
22010839;MONZÓN III;Huesca;Monzón
22010876;MARÍA MOLINER;Huesca;Fraga
22010967;KATIA ACÍN;Huesca;Binéfar
22010980;BENABARRE;Huesca;Benabarre
22010992;ARÉN;Huesca;Arén
22011005;MONTANUY;Teruel;Montanuy
